author_date_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1449862188.000000,0,1,7,9,2.582536,706,44,1332.222222,4,3.665084,56,2143,1.064637,2093,1,36.079537
1449863793.000000,0,1,1,1,0,1,1,428,4,0.057662,21,0,0,0,0,0
1449865519.000000,0,1,1,3,0.407706,45,1,884.333333,4,4.232083,45,2149,1.243927,2096,0,0
1449871697.000000,1,1,2,2,1,2,0,390.5,3,21.03974,11,2151.5,1.081554,2098,0,0
1449877658.000000,1,2,2,3,1.382102,10,8,6,5,1.312762,7,158,1.979241,1,1,11.288796
1449880330.000000,0,1,1,1,0,6,0,33,2,5.33022,11,160,1.18761,43,0,0
1449881134.000000,0,1,1,1,0,1,1,11,5,0.040231,5,161,25.856157,2,0,0
1449882552.000000,0,1,1,1,0,2,2,279,2,21.276748,4,2153,1.047,2099,0,0
1449882851.000000,0,1,2,2,0.811278,6,2,242.5,4,0.374398,28,2154.5,3.934503,2101,0,0
1449882958.000000,0,1,1,1,0,1,0,213,4,3.303461,32,8,1.302713,1,0,0
1449903796.000000,1,2,11,27,4.112406,532,311,553.407407,4,8.1056,97,2169,1.021567,2127,1,4.786528
1450024772.000000,0,1,1,1,0,5,2,310,4,5.370139,34,26,1.186215,5,0,0
1450030472.000000,0,1,1,2,0.918296,13,8,216.5,5,2.531134,48,0.5,0.59877,1,1,68.246435
1450035844.000000,0,1,1,1,0,2,0,313,4,0.128148,35,27,8.803468,6,0,0
1450037788.000000,0,1,1,1,0,1,1,215,4,3.775116,1,0,0,0,0,0
1450048675.000000,0,1,1,1,0,1,0,20,4,5.646794,2,9,1.177092,3,0,0
1450048730.000000,0,1,1,2,1,2,2,23,5,4.57441,10,162.5,1.312415,4,1,9.308796
1450048753.000000,1,1,1,1,0,2,2,47,4,2.252569,3,164,1.443937,101,0,0
1450049237.000000,0,1,1,1,0,2,0,214,4,1.924525,33,165,1.519609,44,0,0
1450057377.000000,0,1,1,2,0.999338,33,0,0,1,0,0,28.5,0,8,1,0.062442
1450057576.000000,0,1,1,1,0,7,0,17,1,0.002303,1,30,435.170854,9,1,0.060139
1450059022.000000,0,1,2,4,1.551103,42,25,88.75,5,0.07601,39,32.5,4.446603,13,1,0.043403
1450059257.000000,0,1,1,1,0,4,1,323,5,0.00272,37,35,368.659574,14,1,0.00772
1450059288.000000,0,1,1,1,0,2,2,326,5,0.000359,38,36,2788.096774,15,0,0
1450059924.000000,1,1,1,1,0,1,2,326,5,0.007361,39,37,136.849057,16,1,0.032963
1450060573.000000,0,1,2,2,0.733538,32,2,57,4,14.367859,5,166.5,1.12039,103,1,0.01206
1450061615.000000,1,1,1,1,0,4,4,71,4,0.01206,4,168,83.917466,104,0,0
1450062686.000000,0,1,2,2,0.954434,7,1,72,4,0.018426,8,169.5,54.903974,106,0,0
1450062772.000000,1,1,2,2,0.468996,26,24,179,5,0.038183,41,38.5,22.715978,18,1,1.035255
1450063280.000000,0,1,1,2,0.273769,83,2,46,4,4.013073,4,171.5,1.124593,15,1,37.086412
1450065480.000000,0,1,1,2,0.684038,9,2,45,5,2.0732,3,173.5,1.241918,17,0,0
1450067302.000000,0,1,1,1,0,101,0,0,1,0,0,175,0,18,1,19.026238
1450076291.000000,0,1,1,1,0,3,3,39,2,2.268067,12,176,1.440904,45,0,0
1450117542.000000,1,1,2,2,0.918296,3,3,420,2,3.972674,12,2183.5,1.18879,2129,1,0.02434
1450119645.000000,1,1,2,2,0.918296,3,3,420,2,0.02434,14,2185.5,31.813124,2131,1,0.000347
1450119675.000000,1,1,5,6,1.477417,23,147,428.5,2,2.665023,32,2189.5,1.107709,2137,0,0
1450121218.000000,0,2,2,3,1.061278,2,6,28.333333,5,0.73265,25,178,2.03798,6,1,8.469815
1450139721.000000,1,1,1,1,0,5,5,67,4,3.251273,7,0,0,0,0,0
1450140261.000000,1,1,1,2,0.619382,6,7,4847,4,2.736863,21,1.5,1.274036,2,0,0
1450140276.000000,1,1,28,55,4.178292,196,241,52.690909,5,18.154096,65,27,0.988439,54,1,27.849664
1450140285.000000,0,1,2,2,0.77935,12,1,482.5,4,6.519352,14,55.5,1.100249,56,1,1070.678206
1450140294.000000,0,1,1,2,0.961237,13,0,228.5,2,24.259873,7,57.5,1.030915,58,0,0
1450140308.000000,1,1,1,1,0,9,0,39,4,2.737407,2,59,1.365309,59,0,0
1450140334.000000,0,1,1,1,0,2,0,216,4,1.054363,34,60,1.94844,0,0,0
1450140349.000000,0,1,1,1,0,3,2,135,2,13.138148,1,61,1.076114,60,0,0
1450146888.000000,0,1,1,1,0,39,0,0,1,0,0,40,0,19,1,0.06169
1450147283.000000,0,1,1,1,0,3,1,39,1,0.004572,1,41,219.734177,20,0,0
1450150973.000000,0,1,2,2,0.702467,17,4,37.5,5,0.531777,4,42.5,1.959913,22,1,0.01441
1450152218.000000,1,1,2,2,0.996792,8,7,44,5,0.01441,6,44.5,53.048193,24,0,0
1450219531.000000,0,1,1,1,0,4,4,545,2,14.054606,7,62,1.071151,61,0,0
1450219552.000000,1,1,1,1,0,9,0,655,4,5.109861,28,63,1.1957,62,0,0
1450219572.000000,0,1,4,4,2,4,12,493.25,4,6.954659,36,65.5,1.055283,66,0,0
1450219581.000000,0,1,1,1,0,3,0,664,4,0.000336,29,68,2980.310345,67,0,0
1450219608.000000,1,1,3,6,2.276109,43,3,919.166667,4,9.131503,51,2.5,0.869576,5,1,90.844144
1450219617.000000,0,1,1,1,0,4,0,741,4,0.000521,12,69,1921,68,0,0
1450219628.000000,0,1,2,2,0.318215,17,35,94.5,2,7.486655,7,70.5,1.068965,70,0,0
1450219639.000000,0,1,2,2,1,4,0,74,3,18.812025,7,2193.5,1.030755,2139,0,0
1450219648.000000,0,1,1,4,0.873046,66,44,1073.75,4,6.564673,62,73.5,1.055167,74,0,0
1450219668.000000,1,1,1,1,0,1,1,63,2,25.178553,3,76,1.039716,75,0,0
1450219677.000000,0,1,1,2,0.491237,40,16,231.5,4,15.529485,6,77.5,1.101128,77,1,42.962627
1450219686.000000,0,1,1,1,0,2,0,242,2,25.178762,5,79,1.039716,78,0,0
1450219706.000000,1,1,1,1,0,10,8,369,2,25.178993,4,80,1.039716,79,0,0
1450219716.000000,0,1,1,1,0,2,0,210,1,38.930995,1,81,1.025686,80,0,0
1450219726.000000,0,1,1,1,0,3,8,25,5,0.91956,3,0,0,0,0,0
1450219736.000000,0,1,1,1,0,6,4,371,2,0.000347,5,82,2881,81,0,0
1450229661.000000,0,1,1,2,0.928362,32,0,487.5,4,4.292245,15,6.5,1.174734,7,0,0
1450229671.000000,1,1,2,2,1,19,5,1468.5,4,4.292361,17,83.5,1.174729,83,1,481.806539
1450229680.000000,1,1,3,5,2.083286,126,55,896.6,4,6.089949,32,87,1.084303,88,0,0
1450238217.000000,0,1,2,2,0.764205,18,0,1916.5,4,0.215382,31,0.5,1.660729,1,0,0
1450317269.000000,1,1,2,2,0.693127,23,20,413,4,11.655162,13,8.5,1.082992,9,1,0.94706
